isbn;ean;title;publisher;date;seriesTitle;seriesNumber;authorSurname;AuthorName;type;totalCopies;numberCopiesAimeCesaire;numberCopiesEdmondRostand;numberCopiesJeanPierreMelville;numberCopiesOscarWilde;numberCopiesSaintSimon
2-913246-22-2;9782913246225;Le 2e arrondissement | Texte imprime | itineraires d'histoire et d'architecture | Action artistique de la Ville de Paris | [red. par] Valerie Chiche;Mairie de Paris, Direction generale de l'information et de la communication;2000;;;;;Livre pour adulte;12;;;1;;1
978-2-08-124911-0;9782081249110;Mefiez-vous de la Vierge | Texte imprime | roman | Andre Boris;Flammarion;impr. 2011;Vous ne croyez tout de meme pas a ces betises ?;;Boris;Andre;Livre pour adulte;1;;;;;
978-2-03-585916-7;9782035859167;Phedre | tragedie | Racine | edition presentee, annotee et commentee par Anne Regent et Laurent Susini;Larousse;2011;;;Racine;Jean;Livre jeunesse;11;;;;;
;"0794881836925;794881836925";La baleine bleue | Enregistrement sonore | Steve Waring, chant, voix, guit., bjo, p [acc. voc. et instr.];"le Chant du monde;distrib. Harmonia mundi distribution";[DL 2009];;;Waring;Steve;Enregistrement musical pour la jeunesse;6;;;;;
978-2-8001-4850-2;9782800148502;Salvatore | Texte imprime | Nicolas de Crecy;Dupuis;DL 2010;;;Crecy;Nicolas de;Bande dessinee pour adulte;1;;;;;
978-3-468-47201-5;;Berliner Platz 1 Neu | Multimedia multisupport | Deutsch im Alltag Lehhr und Arbeitsbuch | von Christiane Lemcke, Lutz Rohrmann, Theo Scherling  | in Zusammenarbeit mit Anne Koker;Langenscheidt;2009;;;Lemcke;Christiane;Methode de langue;1;;;;;
;743218281297;Roy Orbison  | images animees | Tony Mitchell, real | Roy Orbison, mus., chant, guitare | Jackson Browne, T-Bone Burnett, Elvis Costello... [et al.], particip;BMG France [ed.];1999;;;Mitchell;Tony;DVD-video tous publics;1;;;;;
978-2-7186-0842-6;9782718608426;La soeur du petit Hans | Texte imprime | recit | Claude Louis-Combet | dessins de Vladimir Veli?kovi?;Galilee;impr. 2011;;;Louis-Combet;Claude;Livre pour adulte;3;;;;;
978-2-35608-032-5;9782356080325;La signature | Texte imprime | Allain Glycos;l'Escampette;impr. 2011;;;Glycos;Allain;Livre pour adulte;3;;;;;
978-2-7144-4791-3;9782714447913;Captif | Texte imprime | Neil Cross | traduit de l'anglais par Renaud Morin;Belfond;impr. 2011;;;Cross;Neil;Livre pour adulte;6;;;1;;
